"","Domain","Mean","Head_Count","Poverty_Gap","Poverty_Severity","Gini","Quintile_Share","Quantile_10","Quantile_25","Median","Quantile_75","Quantile_90","admin0Pcod","admin1Pcod","admin2Pcod","admin2Name","area"
"1","10001",14657.5646160029,0.593804658946481,0.320714315944558,0.42883383983656,0.562157732676594,22.8982608848323,1964.50086598491,3826.84172127351,8023.86738330051,16853.1632244135,32784.5334447992,"BDI","BDI010","BDI010001","Kayogoro",454.615377720838
"2","10002",14165.1838990198,0.606672131430896,0.33035998128845,0.440462207839365,0.561529569044031,22.7972518197351,1906.3556687243,3710.74011112033,7773.04390578453,16272.2800173914,31660.6821494084,"BDI","BDI010","BDI010002","Kibago",266.918780839454
"3","10003",16809.3842232146,0.598750449521609,0.325271879699948,0.433851109661118,0.614370956454235,29.2475058588228,1929.84054253832,3765.04154164918,7940.30645873335,16736.6067325628,32545.5392478921,"BDI","BDI010","BDI010003","Mabanda",273.198481166582
"4","10004",13654.0951047729,0.624275709829092,0.347459398708683,0.460039874416243,0.569841267490171,24.0710099189692,1763.03343702726,3454.78294992196,7314.53725209443,15552.0876530195,30636.8557914325,"BDI","BDI010","BDI010004","Makamba",304.832640535427
"5","10005",20205.3238669197,0.594804304364653,0.322632035602428,0.43060338336482,0.67237427967619,37.5449052569382,1943.23851120504,3796.87138724015,8012.87970175636,16930.4618229511,33148.8182261109,"BDI","BDI010","BDI010005","Nyanza-Lac",370.150188593611
"6","10006",13254.0205725131,0.629221721284806,0.349021133867295,0.462612341749525,0.561539219786083,22.8213462322736,1784.43348673892,3466.93125934782,7267.41728528481,15205.3784816095,29707.2678473167,"BDI","BDI010","BDI010006","Vugizo",222.794301386548
"7","1001",14382.0001463691,0.604786642144694,0.330119982767824,0.439700214256202,0.56759800424137,23.7218123221355,1876.78835821679,3676.68927222584,7755.82971957178,16389.6060966537,32247.9208902855,"BDI","BDI001","BDI001001","Bubanza",220.841740570135
"8","1002",14889.267358157,0.587641850611746,0.315474777933157,0.422342402421357,0.560733854124199,22.8553152567997,1997.31903799686,3890.58721052908,8188.26521765043,17183.1253755628,33217.2787469656,"BDI","BDI001","BDI001002","Gihanga",274.948472867001
"9","1003",13744.6559973302,0.618450171232288,0.340168173550185,0.451913408071867,0.564453829870828,23.2831924099279,1820.20430988254,3555.96384258434,7490.62747098257,15671.0710069187,30672.3889276568,"BDI","BDI001","BDI001003","Mpanda",117.18837570618
"10","1004",12275.6570860267,0.654625436511383,0.370651101451139,0.488232889511773,0.562763675238068,22.9940053925774,1641.49795087075,3193.91155559077,6705.66999330647,14089.3538144797,27474.4422222241,"BDI","BDI001","BDI001004","Musigati",290.502032506225
"11","1005",12833.7518435849,0.641297609230407,0.359406247398488,0.474811431687348,0.563888933837314,23.2748633406958,1697.53719081741,3317.20477608418,6993.51917900244,14718.5851200367,28717.9358796201,"BDI","BDI001","BDI001005","Rugazi",152.047273776228
"12","11001",11263.6363418891,0.685393515849373,0.397244304599888,0.51919413375406,0.565150145285438,23.2752193199077,1494.99161232767,2916.19106087538,6113.97191750965,12866.1224511557,25155.2890879482,"BDI","BDI011","BDI011001","Bukeye",172.336147421893
"13","11002",13868.7614424558,0.61320176242424,0.336206534087965,0.447353542295287,0.561268864144288,22.8338180553166,1862.04621666928,3624.48734477488,7602.95275686171,15951.6372387087,31148.0325449533,"BDI","BDI011","BDI011002","Kiganda",107.240047712997
"14","11003",12041.4134381266,0.660497848809419,0.374848968067035,0.493313618008227,0.560936789851538,22.7539216398457,1628.14135612021,3154.53363506226,6622.53463705494,13849.6622997448,26907.6658364606,"BDI","BDI011","BDI011003","Mbuye",117.043845302275
"15","11004",12892.2757041846,0.644478848000546,0.362089619749322,0.478061031561898,0.569509724554783,23.7862329753602,1681.83121905032,3295.38197710934,6907.17695332292,14627.9432069963,28705.7107189665,"BDI","BDI011","BDI011004","Muramvya",191.446435962897
"16","11005",13058.2683337214,0.633604078729499,0.35190500807685,0.466463055343194,0.560406930398616,22.6549822488799,1766.47840848021,3427.71099993345,7165.3980132852,15029.7543573179,29299.677853011,"BDI","BDI011","BDI011005","Rutegama",79.2657503189031
"17","12001",9982.39534342773,0.720994078582369,0.429219094962166,0.556067361365473,0.561109725859494,22.7832360418536,1345.64315867371,2616.74097488412,5482.21355146923,11462.9318491736,22371.6487599303,"BDI","BDI012","BDI012001","Buhinyuza",280.153914520839
"18","12002",12758.1206432962,0.641271494587195,0.35807678207066,0.47364002524838,0.561485675831068,22.8794457884011,1709.04308035881,3340.0907973613,7009.28994478848,14673.0754112692,28506.5039414749,"BDI","BDI012","BDI012002","Butihinda",277.468179079739
"19","12003",10666.0180917369,0.701219194906356,0.410995500764692,0.535175192000918,0.562775762470354,23.0046723308259,1425.0236219775,2780.14904574295,5833.85441757333,12229.7335489643,23827.0553306975,"BDI","BDI012","BDI012003","Gashoho",149.408000155393
"20","12004",10749.3424074342,0.698297829006396,0.408581770254315,0.532323083432488,0.561915117211152,22.8361131979239,1445.41516872892,2809.42966713553,5881.8021917487,12341.7619117181,24014.973966138,"BDI","BDI012","BDI012004","Gasorwe",175.710345025746
"21","12005",11497.5690015238,0.677182301953171,0.38980263680948,0.510436985076959,0.56211707875452,22.8722748768346,1544.951348717,3004.19777027393,6302.68818521444,13196.4415073284,25574.6703455412,"BDI","BDI012","BDI012005","Giteranyi",368.885800529233
"22","12006",15424.5389495323,0.605882707964467,0.335625590340476,0.444774907156659,0.596287549809237,27.5060972027807,1814.17940969881,3586.20916803151,7695.98744596205,16588.26997436,33556.0546098674,"BDI","BDI012","BDI012006","Muyinga",370.670358248838
"23","12007",12456.9685825311,0.64949653371895,0.365967763659179,0.482745011037637,0.561183762252644,22.8160634582143,1675.53192909346,3264.53567911005,6831.42967438413,14351.6515974387,27785.7370304983,"BDI","BDI012","BDI012007","Mwakiro",172.965574148786
"24","13001",13728.6063870616,0.618156427636244,0.339150311161587,0.45117614889876,0.561527300610611,22.7579499567143,1847.64002464049,3598.42722372963,7531.19076339414,15745.4269849386,30670.2718918547,"BDI","BDI013","BDI013001","Bisoro",124.002423301147
"25","13002",13160.8022798703,0.631290890875716,0.350807265473027,0.464800942017016,0.561499264176611,22.855656758797,1769.6747076709,3449.32384303462,7218.50943029088,15128.1014053505,29471.7303909305,"BDI","BDI013","BDI013002","Gisozi",117.777514871468
"26","13003",14284.0726170999,0.602421270341591,0.328073912533275,0.437463101291343,0.561782741909632,22.9413093122241,1915.20490723155,3721.62096826708,7832.37179033435,16420.7878093852,32151.0866255063,"BDI","BDI013","BDI013003","Kayokwe",112.440928095947
"27","13004",13973.2622636768,0.610192681485273,0.333035368226563,0.443651438335627,0.56108810425957,22.8515486226466,1875.26519071852,3655.23307547886,7677.10034605947,16067.137090169,31374.253709332,"BDI","BDI013","BDI013004","Ndava",168.565936266659
"28","13005",13376.9830864969,0.62583401657798,0.345365495901882,0.458647281630979,0.561619783589171,22.7609819197692,1809.85830411706,3506.48800273488,7329.55449727901,15351.2643308249,29915.0311719331,"BDI","BDI013","BDI013005","Nyabihanga",137.96148319089
