"","admin2Pcod","Direct","FH","Out","admin2Name","admin1Name"
"1",1,0.70765846663097,0.710852368569221,0,"Bubanza","Bubanza"
"2",2,0.622816987452579,0.597546891485153,0,"Gihanga","Bubanza"
"3",3,0.687537201608374,0.631809612337684,0,"Mpanda","Bubanza"
"4",4,0.83602662312796,0.759202288717369,0,"Musigati","Bubanza"
"5",5,0.756410815199931,0.682766545664642,0,"Rugazi","Bubanza"
"6",6,0.344315475202309,0.210385622215712,0,"Buterere","Bujumbura Mairie"
"7",7,0.0888472340386588,0.0408130076014216,0,"Buyenze","Bujumbura Mairie"
"8",8,0,0.00616689424573869,0,"Bwiza","Bujumbura Mairie"
"9",9,0.0752934777764266,0.0990785796466378,0,"Cibitoke","Bujumbura Mairie"
"10",10,0.0665323932970301,0.0919454300044565,0,"Gihosha","Bujumbura Mairie"
"11",11,0.0992871639006327,0.0678593768205701,0,"Kamenge","Bujumbura Mairie"
"12",12,0.197229310300048,0.21050940927137,0,"Kanyosha2","Bujumbura Mairie"
"13",13,0.0883840475729332,0.139160937634508,0,"Kinama","Bujumbura Mairie"
"14",14,0.0240171364175017,0.0852279546605729,0,"Kinindo","Bujumbura Mairie"
"15",15,0,0.228028799249942,0,"Lake Tanganyika","Bujumbura Mairie"
"16",16,0.223222494009669,0.138250945897382,0,"Musaga","Bujumbura Mairie"
"17",17,0.127811058290485,0.151245310311552,0,"Ngagara","Bujumbura Mairie"
"18",18,0,0.0183824564568817,0,"Nyakabiga","Bujumbura Mairie"
"19",19,0.218537727204882,0.0928007461545522,0,"Roherero","Bujumbura Mairie"
"20",20,0.527400496878785,0.548114080698834,0,"Bugarama","Bujumbura Rural"
"21",21,0.595238157702832,0.551387031933624,0,"Isale","Bujumbura Rural"
"22",22,0.587094421455506,0.651683641532996,0,"Kabezi","Bujumbura Rural"
"23",23,0.465149264308175,0.471796996667548,0,"Kanyosha1","Bujumbura Rural"
"24",24,NA,0.452858152216268,1,"Lake Tanganyika","Bujumbura Rural"
"25",25,0.713971710819931,0.670160383004369,0,"Mubimbi","Bujumbura Rural"
"26",26,0.403861155049537,0.519981755629563,0,"Mugongomanga","Bujumbura Rural"
"27",27,0.700655174943895,0.672061844567237,0,"Muhuta","Bujumbura Rural"
"28",28,0.414594278575127,0.575998453341106,0,"Mukike","Bujumbura Rural"
"29",29,0.716666289454838,0.675934626914115,0,"Mutambu","Bujumbura Rural"
"30",30,0.473443198849317,0.468933550299085,0,"Mutimbuzi","Bujumbura Rural"
"31",31,0.690023779256292,0.63077352112059,0,"Nyabiraba","Bujumbura Rural"
"32",32,0.685713859118239,0.679458670362873,0,"Burambi","Bururi"
"33",33,0.688626666395546,0.605035983628945,0,"Bururi","Bururi"
"34",34,0.541153805978835,0.632435249137951,0,"Buyengero","Bururi"
