"","Domain","Direct","FH","Out","admin2Name"
"1",NA,NA,0.716614804441628,1,NA
"2",1001,0.707658468250711,0.687427356847023,0,"Bubanza"
"3",1002,0.62814235756932,0.589533072729882,0,"Gihanga"
"4",1003,0.687537202676212,0.641058991379021,0,"Mpanda"
"5",1004,0.836026624931647,0.75375090536934,0,"Musigati"
"6",1005,0.756410814197332,0.684951898822034,0,"Rugazi"
"7",2002,0.598665179229052,0.561706459046335,0,"Isale"
"8",2003,0.587094418779579,0.552505506639958,0,"Kabezi"
"9",2004,0.468610392015728,0.468051417292756,0,"Kanyosha1"
"10",2005,0.699392255599931,0.635938527404543,0,"Mubimbi"
"11",2006,0.403861154446178,0.556739153413282,0,"Mugongomanga"
"12",2008,0.414594282784258,0.566793625504502,0,"Mukike"
"13",2009,0.73225067666042,0.66151473634108,0,"Mutambu"
"14",2010,0.471580115153006,0.46561592178883,0,"Mutimbuzi"
"15",2012,0.690023778410916,0.629331786072294,0,"Nyabiraba"
"16",3002,0.688626664457733,0.653969084708698,0,"Bururi"
"17",3004,0.46349033762024,0.560319330992222,0,"Matana"
"18",3005,0.650617812039206,0.638131933286841,0,"Mugamba"
"19",3007,0.742022580093209,0.664012179550025,0,"Rutovu"
"20",3008,0.437822182557868,0.557571050036762,0,"Songa"
"21",3009,0.284130932245548,0.527867642086932,0,"Vyanda"
"22",4001,0.640849936292812,0.665427042700566,0,"Cankuzo"
"23",4002,0.7895050922979,0.738467876552143,0,"Cendajuru"
"24",4003,0.603047548801851,0.651969898730188,0,"Gisagara"
"25",4004,0.504553293860468,0.612593404754823,0,"Kigamba"
"26",4005,0.629429932866647,0.665588562916427,0,"Mishiha"
"27",5001,0.591296405737925,0.609891530753262,0,"Buganda"
"28",5002,0.749760517136735,0.690673448489987,0,"Bukinanyana"
"29",5003,0.515561501119861,0.590452276454294,0,"Mabayi"
"30",5004,0.659384085442704,0.647781701745113,0,"Mugina"
"31",5005,0.762692145397552,0.70373446020928,0,"Murwi"
