"","admin1Pcod","ebp_headcount","survey_headcount","admin1Name","survey_population","grid_population","sample_size","bmrate"
"1","BDI001",0.654353331888955,0.754920872703751,"Bubanza",511594.536420352,442686.089591026,446,0.866783997567039
"2","BDI002",0.598298127818347,0.667996657816639,"Bujumbura Rural",695358.962089429,682332.405924797,496,0.895660361196861
"3","BDI003",0.563682941562402,0.597663374107827,"Bururi",474699.890099616,450776.753127575,236,0.943144529148787
"4","BDI004",0.673941471701783,0.653009680653862,"Cankuzo",349824.000000001,354787.413197041,359,1.03205433497856
"5","BDI005",0.657488003132066,0.646351415378036,"Cibitoke",699723.235544812,620043.786035538,684,1.01722992707847
"6","BDI006",0.547012057556407,0.586987761391523,"Gitega",1108452.30142429,929474.770850182,803,0.931896869978431
"7","BDI007",0.750530446325254,0.772743867967695,"Karuzi",667087.345651038,559070.727669001,391,0.97125383640913
"8","BDI008",0.568280513886196,0.581795859695177,"Kayanza",901486.599462899,907167.933990002,334,0.976769608130141
"9","BDI009",0.708355319956572,0.772429489230091,"Kirundo",961682.074234599,902901.550189018,446,0.917048520069599
"10","BDI010",0.581417806150501,0.629931830331314,"Makamba",654581.151787241,604756.39889431,267,0.922985278970111
"11","BDI011",0.723778174633954,0.812810224491635,"Muramvya",444357.961131953,373070.484642029,328,0.890463914976752
"12","BDI012",0.655697636456676,0.746295458326046,"Muyinga",964204.087937344,1114159.78749561,449,0.878603278555946
"13","BDI013",0.598652537842088,0.652634663529347,"Mwaro",416283.130278721,362834.586298943,354,0.917285843514146
"14","BDI014",0.629498398938892,0.67908014036698,"Ngozi",996641.59912676,880943.52543354,446,0.926986907022058
"15","BDI015",0.788053762478344,0.849285251620832,"Rutana",510240.12563037,561441.786532879,271,0.927902328427782
"16","BDI016",0.7734361195893,0.821635026689832,"Ruyigi",612196,635389.909273148,270,0.941337813585293
"17","BDI017",0.13864651116928,0.169331435469792,"Bujumbura Mairie",787483.827357054,935875.320314407,1417,0.818787786122638
"18","BDI018",0.593540992427308,0.640924598065039,"Rumonge",535251.66472435,572938.751270771,358,0.926069921827336
