"","admin2Pcod","admin2Name","admin0Pcod","admin1Pcod","area","Domain","Direct","FH","Out","population","poppoor"
"1","BDI001001","Bubanza","BDI","BDI001",220.841740570135,1001,0.707658468250711,0.687427356847023,0,95009.8631544113,65312.3791026343
"2","BDI001002","Gihanga","BDI","BDI001",274.948472867001,1002,0.62814235756932,0.589533072729882,0,85268.5661497116,50268.6398095107
"3","BDI001003","Mpanda","BDI","BDI001",117.18837570618,1003,0.687537202676212,0.641058991379021,0,93361.4918260574,59850.2237836531
"4","BDI001004","Musigati","BDI","BDI001",290.502032506225,1004,0.836026624931647,0.75375090536934,0,96721.1201791763,72903.6319033909
"5","BDI001005","Rugazi","BDI","BDI001",152.047273776228,1005,0.756410814197332,0.684951898822034,0,72325.0482816696,49539.1791529249
"6","BDI002002","Isale","BDI","BDI002",108.376838738797,2002,0.598665179229052,0.561706459046335,0,116048.52991581,65185.2088165421
"7","BDI002003","Kabezi","BDI","BDI002",72.0513692288684,2003,0.587094418779579,0.552505506639958,0,71628.5173740387,39575.1502816123
"8","BDI002004","Kanyosha1","BDI","BDI002",78.8661828188452,2004,0.468610392015728,0.468051417292756,0,116352.798192501,54459.0920999781
"9","BDI002005","Mubimbi","BDI","BDI002",69.5526162408254,2005,0.699392255599931,0.635938527404543,0,60750.964984417,38633.8792105951
"10","BDI002006","Mugongomanga","BDI","BDI002",111.690194925963,2006,0.403861154446178,0.556739153413282,0,40895.4252376556,22768.0844252886
"11","BDI002008","Mukike","BDI","BDI002",142.218566385525,2008,0.414594282784258,0.566793625504502,0,37649.3330821991,21339.4019954862
"12","BDI002009","Mutambu","BDI","BDI002",81.159867433064,2009,0.73225067666042,0.66151473634108,0,63429.677110672,41959.666130066
"13","BDI002010","Mutimbuzi","BDI","BDI002",141.512954152638,2010,0.471580115153006,0.46561592178883,0,102492.866167068,47722.3103571588
"14","BDI002012","Nyabiraba","BDI","BDI002",78.6874257307127,2012,0.690023778410916,0.629331786072294,0,73084.2938604355,45994.2691890203
"15","BDI003002","Bururi","BDI","BDI003",386.086815221776,3002,0.688626664457733,0.653969084708698,0,128413.083389282,83978.1866087106
"16","BDI003004","Matana","BDI","BDI003",203.03317032837,3004,0.46349033762024,0.560319330992222,0,62245.313387394,34877.2523546258
"17","BDI003005","Mugamba","BDI","BDI003",289.033966956335,3005,0.650617812039206,0.638131933286841,0,76950.6442580223,49104.6633880398
"18","BDI003007","Rutovu","BDI","BDI003",281.498791123907,3007,0.742022580093209,0.664012179550025,0,63816.7978038788,42375.1310016568
"19","BDI003008","Songa","BDI","BDI003",221.083155938028,3008,0.437822182557868,0.557571050036762,0,74054.625014782,41290.7150295707
"20","BDI003009","Vyanda","BDI","BDI003",221.92592173415,3009,0.284130932245548,0.527867642086932,0,45296.2892742157,23910.4454144678
